//Industrial Design registrations by Office,
"//by direct resident, direct non-resident and designations via the Hague system",
//Source: WIPO Statistics Database, December 2011
//Note: Data are missing for some offices and years.,

Year,Office Name,Office Code,Registrant Type,Number of Registrations
1883,"Canada","CA","Direct_Aggregate",66
1883,"United Kingdom","GB","Direct_Aggregate",16985
1883,"United States of America","US","Direct_Aggregate",1017
1884,"Belgium","BE","Direct_Aggregate",45
1884,"Canada","CA","Direct_Aggregate",68
1884,"Italy","IT","Direct_Resident",13
1884,"United Kingdom","GB","Direct_Aggregate",19687
1884,"United States of America","US","Direct_Aggregate",1150
1885,"Belgium","BE","Direct_Aggregate",75
1885,"Canada","CA","Direct_Aggregate",48
1885,"Italy","IT","Direct_Resident",4
1885,"Italy","IT","Direct_NonResident",1
1885,"United Kingdom","GB","Direct_Aggregate",20596
1885,"United States of America","US","Direct_Aggregate",769
1886,"Belgium","BE","Direct_Aggregate",96
1886,"Canada","CA","Direct_Aggregate",54
1886,"France","FR","Direct_Resident",33759
1886,"France","FR","Direct_NonResident",194
1886,"Italy","IT","Direct_Resident",14
1886,"Italy","IT","Direct_NonResident",22
1886,"United Kingdom","GB","Direct_Aggregate",23640
1886,"United States of America","US","Direct_Aggregate",594
1887,"Belgium","BE","Direct_Aggregate",109
1887,"Canada","CA","Direct_Aggregate",105
1887,"France","FR","Direct_Resident",42768
1887,"France","FR","Direct_NonResident",329
1887,"Italy","IT","Direct_Resident",12
1887,"Italy","IT","Direct_NonResident",2
1887,"United Kingdom","GB","Direct_Aggregate",25394
1887,"United States of America","US","Direct_Aggregate",948
1888,"Belgium","BE","Direct_Aggregate",148
1888,"Canada","CA","Direct_Aggregate",71
1888,"France","FR","Direct_Resident",29858
1888,"France","FR","Direct_NonResident",242
1888,"Italy","IT","Direct_Resident",9
1888,"Italy","IT","Direct_NonResident",3
1888,"United Kingdom","GB","Direct_Aggregate",26165
1888,"United States of America","US","Direct_Aggregate",832
1889,"Belgium","BE","Direct_Aggregate",229
1889,"Canada","CA","Direct_Aggregate",88
1889,"France","FR","Direct_Resident",33355
1889,"France","FR","Direct_NonResident",256
1889,"Italy","IT","Direct_Resident",15
1889,"Italy","IT","Direct_NonResident",1
1889,"Japan","JP","Direct_Aggregate",22
1889,"Switzerland","CH","Direct_Resident",1143
1889,"Switzerland","CH","Direct_NonResident",210
1889,"United Kingdom","GB","Direct_Aggregate",24620
1889,"United States of America","US","Direct_Aggregate",723
1890,"Belgium","BE","Direct_Aggregate",89
1890,"Canada","CA","Direct_Aggregate",68
1890,"France","FR","Direct_Resident",31424
1890,"France","FR","Direct_NonResident",710
1890,"Italy","IT","Direct_Resident",6
1890,"Italy","IT","Direct_NonResident",1
1890,"Japan","JP","Direct_Aggregate",82
1890,"Switzerland","CH","Direct_Resident",992
1890,"Switzerland","CH","Direct_NonResident",29
1890,"United Kingdom","GB","Direct_Aggregate",21107
1890,"United States of America","US","Direct_Aggregate",886
1891,"Belgium","BE","Direct_Aggregate",96
1891,"Canada","CA","Direct_Aggregate",129
1891,"France","FR","Direct_Resident",38210
