//Solicitudes de registro de diseños industriales por oficina,
"//por directamente por residentes, directamente por no residentes y sistema de La Haya",
//Fuente:  Base de datos de estadísticas de la OMPI, diciembre 2011
//Nota: Es probable que falten datos relativos a algunas oficinas o respecto de ciertos períodos.,

Año,Nombre'Oficina,Código'Oficina,Tipo de solicitante,Número de solicitudes
1883,"Francia","FR","Directamente_residentes",30718
1883,"Francia","FR","Directamente_NOresidentes",304
1883,"Alemania","DE","Directamente total",54257
1883,"Italia","IT","Directamente_residentes",3
1883,"Italia","IT","Directamente_NOresidentes",2
1884,"Bélgica","BE","Directamente_residentes",34
1884,"Bélgica","BE","Directamente_NOresidentes",11
1884,"Francia","FR","Directamente_residentes",30597
1884,"Francia","FR","Directamente_NOresidentes",317
1884,"Alemania","DE","Directamente total",67889
1884,"Italia","IT","Directamente_residentes",13
1884,"Reino Unido","GB","Directamente total",19753
1884,"Estados Unidos de América","US","Directamente total",1230
1885,"Bélgica","BE","Directamente total",75
1885,"Francia","FR","Directamente_residentes",27905
1885,"Francia","FR","Directamente_NOresidentes",110
1885,"Alemania","DE","Directamente total",73121
1885,"Italia","IT","Directamente_residentes",4
1885,"Italia","IT","Directamente_NOresidentes",1
1885,"Reino Unido","GB","Directamente total",20725
1885,"Estados Unidos de América","US","Directamente total",862
1886,"Bélgica","BE","Directamente total",96
1886,"Francia","FR","Directamente_residentes",33759
1886,"Francia","FR","Directamente_NOresidentes",194
1886,"Alemania","DE","Directamente_residentes",71044
1886,"Alemania","DE","Directamente_NOresidentes",460
1886,"Italia","IT","Directamente_residentes",14
1886,"Italia","IT","Directamente_NOresidentes",22
1886,"Reino Unido","GB","Directamente total",24041
1886,"Estados Unidos de América","US","Directamente total",645
1887,"Bélgica","BE","Directamente total",109
1887,"Francia","FR","Directamente_residentes",42768
1887,"Francia","FR","Directamente_NOresidentes",329
1887,"Alemania","DE","Directamente total",73130
1887,"Italia","IT","Directamente_residentes",12
1887,"Italia","IT","Directamente_NOresidentes",2
1887,"Reino Unido","GB","Directamente total",26043
1887,"Estados Unidos de América","US","Directamente total",1041
1888,"Bélgica","BE","Directamente total",148
1888,"Francia","FR","Directamente_residentes",29858
1888,"Francia","FR","Directamente_NOresidentes",242
1888,"Alemania","DE","Directamente_residentes",79900
1888,"Alemania","DE","Directamente_NOresidentes",805
