//Registros de diseños industriales por oficina,
"//por directamente por residentes, directamente por no residentes y sistema de La Haya",
//Fuente:  Base de datos de estadísticas de la OMPI, diciembre 2011
//Nota: Es probable que falten datos relativos a algunas oficinas o respecto de ciertos períodos.,

Año,Nombre'Oficina,Código'Oficina,Tipo'solicitante,Número de registros
1883,"Canadá","CA","Directamente total",66
1883,"Reino Unido","GB","Directamente total",16985
1883,"Estados Unidos de América","US","Directamente total",1017
1884,"Bélgica","BE","Directamente total",45
1884,"Canadá","CA","Directamente total",68
1884,"Italia","IT","Directamente_residentes",13
1884,"Reino Unido","GB","Directamente total",19687
1884,"Estados Unidos de América","US","Directamente total",1150
1885,"Bélgica","BE","Directamente total",75
1885,"Canadá","CA","Directamente total",48
1885,"Italia","IT","Directamente_residentes",4
1885,"Italia","IT","Directamente_NOresidentes",1
1885,"Reino Unido","GB","Directamente total",20596
1885,"Estados Unidos de América","US","Directamente total",769
1886,"Bélgica","BE","Directamente total",96
1886,"Canadá","CA","Directamente total",54
1886,"Francia","FR","Directamente_residentes",33759
1886,"Francia","FR","Directamente_NOresidentes",194
1886,"Italia","IT","Directamente_residentes",14
1886,"Italia","IT","Directamente_NOresidentes",22
1886,"Reino Unido","GB","Directamente total",23640
1886,"Estados Unidos de América","US","Directamente total",594
1887,"Bélgica","BE","Directamente total",109
1887,"Canadá","CA","Directamente total",105
1887,"Francia","FR","Directamente_residentes",42768
1887,"Francia","FR","Directamente_NOresidentes",329
1887,"Italia","IT","Directamente_residentes",12
1887,"Italia","IT","Directamente_NOresidentes",2
1887,"Reino Unido","GB","Directamente total",25394
1887,"Estados Unidos de América","US","Directamente total",948
1888,"Bélgica","BE","Directamente total",148
1888,"Canadá","CA","Directamente total",71
1888,"Francia","FR","Directamente_residentes",29858
1888,"Francia","FR","Directamente_NOresidentes",242
1888,"Italia","IT","Directamente_residentes",9
1888,"Italia","IT","Directamente_NOresidentes",3
1888,"Reino Unido","GB","Directamente total",26165
1888,"Estados Unidos de América","US","Directamente total",832
1889,"Bélgica","BE","Directamente total",229
1889,"Canadá","CA","Directamente total",88
1889,"Francia","FR","Directamente_residentes",33355
1889,"Francia","FR","Directamente_NOresidentes",256
1889,"Italia","IT","Directamente_residentes",15
1889,"Italia","IT","Directamente_NOresidentes",1
1889,"Japón","JP","Directamente total",22
1889,"Suiza","CH","Directamente_residentes",1143
1889,"Suiza","CH","Directamente_NOresidentes",210
1889,"Reino Unido","GB","Directamente total",24620
1889,"Estados Unidos de América","US","Directamente total",723
1890,"Bélgica","BE","Directamente total",89
1890,"Canadá","CA","Directamente total",68
1890,"Francia","FR","Directamente_residentes",31424
1890,"Francia","FR","Directamente_NOresidentes",710
1890,"Italia","IT","Directamente_residentes",6
1890,"Italia","IT","Directamente_NOresidentes",1
1890,"Japón","JP","Directamente total",82
1890,"Suiza","CH","Directamente_residentes",992
1890,"Suiza","CH","Directamente_NOresidentes",29
1890,"Reino Unido","GB","Directamente total",21107
1890,"Estados Unidos de América","US","Directamente total",886
1891,"Bélgica","BE","Directamente total",96
1891,"Canadá","CA","Directamente total",129
1891,"Francia","FR","Directamente_residentes",38210
1891,"Francia","FR","Directamente_NOresidentes",453
1891,"Italia","IT","Directamente_residentes",7
1891,"Japón","JP","Directamente total",117
1891,"Suiza","CH","Directamente_residentes",2047
1891,"Suiza","CH","Directamente_NOresidentes",120
1891,"Reino Unido","GB","Directamente total",20942
1891,"Estados Unidos de América","US","Directamente total",835
1892,"Bélgica","BE","Directamente total",135
1892,"Canadá","CA","Directamente total",30
1892,"Francia","FR","Directamente_residentes",47605
1892,"Francia","FR","Directamente_NOresidentes",1009
1892,"Italia","IT","Directamente_residentes",23
1892,"Italia","IT","Directamente_NOresidentes",3
1892,"Japón","JP","Directamente total",48
1892,"Suiza","CH","Directamente_residentes",2392
1892,"Suiza","CH","Directamente_NOresidentes",296
1892,"Reino Unido","GB","Directamente total",18433
1892,"Estados Unidos de América","US","Directamente total",816
1893,"Bélgica","BE","Directamente total",137
1893,"Brasil","BR","Directamente total",180
1893,"Canadá","CA","Directamente total",41
1893,"Francia","FR","Directamente_residentes",52568
1893,"Francia","FR","Directamente_NOresidentes",607
1893,"Italia","IT","Directamente_residentes",10
1893,"Italia","IT","Directamente_NOresidentes",5
1893,"Japón","JP","Directamente total",59
1893,"Nueva Zelandia","NZ","Directamente total",1
1893,"Suiza","CH","Directamente_residentes",8477
1893,"Suiza","CH","Directamente_NOresidentes",193
1893,"Reino Unido","GB","Directamente total",18032
1893,"Estados Unidos de América","US","Directamente total",899
1894,"Bélgica","BE","Directamente total",145
1894,"Canadá","CA","Directamente total",39
1894,"Francia","FR","Directamente_residentes",46857
1894,"Francia","FR","Directamente_NOresidentes",3825
1894,"Italia","IT","Directamente_residentes",46
1894,"Italia","IT","Directamente_NOresidentes",1
1894,"Japón","JP","Directamente total",64
1894,"Nueva Zelandia","NZ","Directamente total",15
1894,"Suiza","CH","Directamente_residentes",25614
1894,"Suiza","CH","Directamente_NOresidentes",151
1894,"Reino Unido","GB","Directamente total",20952
1894,"Estados Unidos de América","US","Directamente total",927
1895,"Bélgica","BE","Directamente total",157
1895,"Canadá","CA","Directamente total",52
1895,"Francia","FR","Directamente_residentes",51818
1895,"Francia","FR","Directamente_NOresidentes",3645
1895,"Italia","IT","Directamente_residentes",57
1895,"Italia","IT","Directamente_NOresidentes",5
1895,"Japón","JP","Directamente total",94
1895,"Portugal","PT","Directamente total",484
1895,"Suiza","CH","Directamente_residentes",55728
1895,"Suiza","CH","Directamente_NOresidentes",215
1895,"Reino Unido","GB","Directamente total",20172
1895,"Estados Unidos de América","US","Directamente total",1108
1896,"Bélgica","BE","Directamente total",175
1896,"Canadá","CA","Directamente total",68
1896,"Francia","FR","Directamente_residentes",51350
1896,"Francia","FR","Directamente_NOresidentes",3761
1896,"Italia","IT","Directamente_residentes",81
1896,"Italia","IT","Directamente_NOresidentes",11
1896,"Japón","JP","Directamente total",96
1896,"Portugal","PT","Directamente total",93
1896,"Suiza","CH","Directamente_residentes",45217
1896,"Suiza","CH","Directamente_NOresidentes",359
1896,"Reino Unido","GB","Directamente total",21545
1896,"Estados Unidos de América","US","Directamente total",1441
1897,"Bélgica","BE","Directamente total",199
1897,"Canadá","CA","Directamente total",75
1897,"Francia","FR","Directamente_residentes",70696
1897,"Francia","FR","Directamente_NOresidentes",3268
1897,"Italia","IT","Directamente_residentes",34
1897,"Italia","IT","Directamente_NOresidentes",6
1897,"Japón","JP","Directamente total",60
1897,"Portugal","PT","Directamente total",167
1897,"Suiza","CH","Directamente_residentes",27700
1897,"Suiza","CH","Directamente_NOresidentes",200
1897,"Reino Unido","GB","Directamente total",19140
1897,"Estados Unidos de América","US","Directamente total",1620
1898,"Austria","AT","Directamente total",9871
1898,"Bélgica","BE","Directamente total",203
1898,"Canadá","CA","Directamente total",136
1898,"Francia","FR","Directamente_residentes",68240
1898,"Francia","FR","Directamente_NOresidentes",1947
1898,"Alemania","DE","Directamente total",131154
1898,"Italia","IT","Directamente_residentes",169
1898,"Italia","IT","Directamente_NOresidentes",32
1898,"Japón","JP","Directamente total",52
1898,"Portugal","PT","Directamente total",49
1898,"Suiza","CH","Directamente_residentes",24774
1898,"Suiza","CH","Directamente_NOresidentes",445
1898,"Reino Unido","GB","Directamente total",19171
1898,"Estados Unidos de América","US","Directamente total",1799
1899,"Austria","AT","Directamente total",10622
1899,"Bélgica","BE","Directamente total",200
1899,"Canadá","CA","Directamente total",112
1899,"Francia","FR","Directamente_residentes",57216
1899,"Francia","FR","Directamente_NOresidentes",1216
1899,"Alemania","DE","Directamente total",123503
1899,"Italia","IT","Directamente total",62
1899,"Japón","JP","Directamente total",139
1899,"Nueva Zelandia","NZ","Directamente total",13
1899,"Portugal","PT","Directamente total",31
1899,"Suiza","CH","Directamente_residentes",35310
1899,"Suiza","CH","Directamente_NOresidentes",195
1899,"Reino Unido","GB","Directamente total",18470
1899,"Estados Unidos de América","US","Directamente total",2137
1900,"Austria","AT","Directamente total",10865
1900,"Bélgica","BE","Directamente total",167
1900,"Canadá","CA","Directamente total",126
1900,"Francia","FR","Directamente_residentes",50882
1900,"Francia","FR","Directamente_NOresidentes",1129
1900,"Alemania","DE","Directamente total",131666
1900,"Hungría","HU","Directamente_residentes",102
1900,"Hungría","HU","Directamente_NOresidentes",24
1900,"Italia","IT","Directamente total",60
1900,"Japón","JP","Directamente total",130
1900,"Nueva Zelandia","NZ","Directamente total",15
1900,"Portugal","PT","Directamente total",61
1900,"Suecia","SE","Directamente total",13
1900,"Suiza","CH","Directamente_residentes",65775
1900,"Suiza","CH","Directamente_NOresidentes",605
1900,"Reino Unido","GB","Directamente total",16282
1900,"Estados Unidos de América","US","Directamente total",1754
1901,"Austria","AT","Directamente total",10696
1901,"Bélgica","BE","Directamente total",201
1901,"Canadá","CA","Directamente total",146
1901,"Francia","FR","Directamente total",51629
1901,"Alemania","DE","Directamente total",135994
1901,"Italia","IT","Directamente total",26
1901,"Japón","JP","Directamente total",141
1901,"Nueva Zelandia","NZ","Directamente total",18
1901,"Portugal","PT","Directamente total",20
1901,"Suecia","SE","Directamente total",20
1901,"Suiza","CH","Directamente total",107279
1901,"Reino Unido","GB","Directamente total",16217
1901,"Estados Unidos de América","US","Directamente total",1729
1902,"Austria","AT","Directamente total",13034
1902,"Bélgica","BE","Directamente total",212
1902,"Canadá","CA","Directamente total",164
1902,"Francia","FR","Directamente total",58982
1902,"Alemania","DE","Directamente total",160764
1902,"Hungría","HU","Directamente total",1037
1902,"Italia","IT","Directamente total",55
1902,"Japón","JP","Directamente total",252
1902,"México","MX","Directamente total",3
1902,"Nueva Zelandia","NZ","Directamente total",28
1902,"Portugal","PT","Directamente total",18
1902,"España","ES","Directamente total",98
1902,"Suecia","SE","Directamente total",10
1902,"Suiza","CH","Directamente_residentes",149335
1902,"Suiza","CH","Directamente_NOresidentes",526
1902,"Reino Unido","GB","Directamente total",17106
1902,"Estados Unidos de América","US","Directamente total",639
1903,"Austria","AT","Directamente total",15942
1903,"Bélgica","BE","Directamente total",215
1903,"Canadá","CA","Directamente total",88
1903,"Francia","FR","Directamente total",63307
1903,"Alemania","DE","Directamente total",171461
1903,"Hungría","HU","Directamente total",1405
1903,"Italia","IT","Directamente total",130
1903,"Japón","JP","Directamente total",362
1903,"México","MX","Directamente total",4
1903,"Nueva Zelandia","NZ","Directamente total",26
1903,"Portugal","PT","Directamente total",25
1903,"España","ES","Directamente total",99
1903,"Suecia","SE","Directamente total",43
1903,"Suiza","CH","Directamente_residentes",225824
1903,"Suiza","CH","Directamente_NOresidentes",661
1903,"Túnez","TN","Directamente total",1
1903,"Reino Unido","GB","Directamente total",20426
1903,"Estados Unidos de América","US","Directamente total",536
1904,"Austria","AT","Directamente total",17113
1904,"Bélgica","BE","Directamente total",210
1904,"Canadá","CA","Directamente total",107
1904,"Cuba","CU","Directamente total",6
1904,"Francia","FR","Directamente_residentes",61283
1904,"Francia","FR","Directamente_NOresidentes",2904
1904,"Alemania","DE","Directamente total",192352
1904,"Hungría","HU","Directamente total",1191
1904,"Italia","IT","Directamente total",51
1904,"Japón","JP","Directamente total",562
1904,"México","MX","Directamente total",18
1904,"Nueva Zelandia","NZ","Directamente total",24
1904,"Portugal","PT","Directamente total",29
1904,"España","ES","Directamente total",109
1904,"Suecia","SE","Directamente total",26
1904,"Suiza","CH","Directamente_residentes",253976
1904,"Suiza","CH","Directamente_NOresidentes",220
1904,"Reino Unido","GB","Directamente total",22604
1904,"Estados Unidos de América","US","Directamente total",553
1905,"Austria","AT","Directamente total",14973
1905,"Bélgica","BE","Directamente total",351
1905,"Canadá","CA","Directamente total",139
1905,"Dinamarca","DK","Directamente total",422
1905,"Francia","FR","Directamente total",51200
1905,"Alemania","DE","Directamente total",211398
1905,"Hungría","HU","Directamente total",1245
1905,"Italia","IT","Directamente total",102
1905,"Japón","JP","Directamente total",765
1905,"México","MX","Directamente total",66
1905,"Nueva Zelandia","NZ","Directamente total",54
1905,"Portugal","PT","Directamente total",15
1905,"España","ES","Directamente total",116
1905,"Suecia","SE","Directamente total",16
1905,"Suiza","CH","Directamente_residentes",241541
1905,"Suiza","CH","Directamente_NOresidentes",700
1905,"Reino Unido","GB","Directamente total",23318
1905,"Estados Unidos de América","US","Directamente total",486
1906,"Austria","AT","Directamente total",14912
1906,"Bélgica","BE","Directamente total",222
1906,"Canadá","CA","Directamente total",64
1906,"Dinamarca","DK","Directamente total",398
1906,"Francia","FR","Directamente_residentes",48859
1906,"Francia","FR","Directamente_NOresidentes",3564
1906,"Alemania","DE","Directamente total",213304
1906,"Hungría","HU","Directamente total",2051
1906,"Italia","IT","Directamente total",105
1906,"Japón","JP","Directamente total",666
1906,"México","MX","Directamente total",27
1906,"Nueva Zelandia","NZ","Directamente total",36
1906,"Portugal","PT","Directamente total",10
1906,"España","ES","Directamente total",99
1906,"Suecia","SE","Directamente total",19
1906,"Suiza","CH","Directamente_residentes",244082
1906,"Suiza","CH","Directamente_NOresidentes",1724
1906,"Reino Unido","GB","Directamente total",21212
1906,"Estados Unidos de América","US","Directamente total",620
1907,"Australia","AU","Directamente total",91
1907,"Austria","AT","Directamente total",13012
1907,"Bélgica","BE","Directamente total",241
1907,"Canadá","CA","Directamente total",125
1907,"Dinamarca","DK","Directamente total",332
1907,"Francia","FR","Directamente total",56238
1907,"Alemania","DE","Directamente total",220874
1907,"Hungría","HU","Directamente total",1445
1907,"Italia","IT","Directamente total",107
1907,"Japón","JP","Directamente total",677
1907,"México","MX","Directamente total",55
1907,"Nueva Zelandia","NZ","Directamente total",57
1907,"Portugal","PT","Directamente total",27
1907,"España","ES","Directamente total",93
1907,"Suecia","SE","Directamente total",19
1907,"Suiza","CH","Directamente total",272732
1907,"Reino Unido","GB","Directamente total",24039
1907,"Estados Unidos de América","US","Directamente total",589
1908,"Australia","AU","Directamente total",184
1908,"Austria","AT","Directamente total",11980
1908,"Bélgica","BE","Directamente total",303
1908,"Canadá","CA","Directamente total",182
1908,"Dinamarca","DK","Directamente total",397
1908,"Francia","FR","Directamente_residentes",54754
1908,"Francia","FR","Directamente_NOresidentes",3729
1908,"Alemania","DE","Directamente total",217750
1908,"Hungría","HU","Directamente total",12116
1908,"Italia","IT","Directamente total",91
1908,"Japón","JP","Directamente total",628
1908,"México","MX","Directamente total",39
1908,"Nueva Zelandia","NZ","Directamente total",79
1908,"Portugal","PT","Directamente total",14
1908,"España","ES","Directamente total",104
1908,"Suecia","SE","Directamente total",38
1908,"Suiza","CH","Directamente_residentes",303843
1908,"Suiza","CH","Directamente_NOresidentes",1717
1908,"Reino Unido","GB","Directamente total",24389
1908,"Estados Unidos de América","US","Directamente total",755
1909,"Australia","AU","Directamente total",166
1909,"Austria","AT","Directamente total",12241
1909,"Bélgica","BE","Directamente total",316
1909,"Canadá","CA","Directamente total",162
1909,"Cuba","CU","Directamente total",1
1909,"Dinamarca","DK","Directamente total",493
1909,"Francia","FR","Directamente_residentes",59267
1909,"Francia","FR","Directamente_NOresidentes",5901
1909,"Alemania","DE","Directamente total",221991
