//Dépôts de demandes de dessins et modèles industriels par office,
"//par résident direct, non-résident direct et système de la Haye",
//Source : base de données statistiques de l’OMPI, décembre 2011
//Note: Des données peuvent manquer pour certains offices ou pour certaines années.,

Année,Nom'Office,Code'Office,Type de déposant,Nombre de demandes
1883,"France","FR","Résident_direct",30718
1883,"France","FR","NonRésident_direct",304
1883,"Allemagne","DE","Directs_globaux",54257
1883,"Italie","IT","Résident_direct",3
1883,"Italie","IT","NonRésident_direct",2
1884,"Belgique","BE","Résident_direct",34
1884,"Belgique","BE","NonRésident_direct",11
1884,"France","FR","Résident_direct",30597
1884,"France","FR","NonRésident_direct",317
1884,"Allemagne","DE","Directs_globaux",67889
1884,"Italie","IT","Résident_direct",13
1884,"Royaume-Uni","GB","Directs_globaux",19753
1884,"États-Unis d'Amérique","US","Directs_globaux",1230
1885,"Belgique","BE","Directs_globaux",75
1885,"France","FR","Résident_direct",27905
1885,"France","FR","NonRésident_direct",110
1885,"Allemagne","DE","Directs_globaux",73121
1885,"Italie","IT","Résident_direct",4
1885,"Italie","IT","NonRésident_direct",1
1885,"Royaume-Uni","GB","Directs_globaux",20725
1885,"États-Unis d'Amérique","US","Directs_globaux",862
1886,"Belgique","BE","Directs_globaux",96
1886,"France","FR","Résident_direct",33759
1886,"France","FR","NonRésident_direct",194
1886,"Allemagne","DE","Résident_direct",71044
1886,"Allemagne","DE","NonRésident_direct",460
1886,"Italie","IT","Résident_direct",14
1886,"Italie","IT","NonRésident_direct",22
1886,"Royaume-Uni","GB","Directs_globaux",24041
1886,"États-Unis d'Amérique","US","Directs_globaux",645
1887,"Belgique","BE","Directs_globaux",109
1887,"France","FR","Résident_direct",42768
1887,"France","FR","NonRésident_direct",329
1887,"Allemagne","DE","Directs_globaux",73130
1887,"Italie","IT","Résident_direct",12
1887,"Italie","IT","NonRésident_direct",2
1887,"Royaume-Uni","GB","Directs_globaux",26043
1887,"États-Unis d'Amérique","US","Directs_globaux",1041
1888,"Belgique","BE","Directs_globaux",148
1888,"France","FR","Résident_direct",29858
1888,"France","FR","NonRésident_direct",242
1888,"Allemagne","DE","Résident_direct",79900
1888,"Allemagne","DE","NonRésident_direct",805
1888,"Italie","IT","Résident_direct",9
1888,"Italie","IT","NonRésident_direct",3
1888,"Royaume-Uni","GB","Directs_globaux",26239
1888,"États-Unis d'Amérique","US","Directs_globaux",971
1889,"Belgique","BE","Directs_globaux",229
1889,"France","FR","Résident_direct",33355
1889,"France","FR","NonRésident_direct",256
1889,"Allemagne","DE","Directs_globaux",76322
1889,"Italie","IT","Résident_direct",15
1889,"Italie","IT","NonRésident_direct",1
1889,"Japon","JP","Directs_globaux",176
1889,"Suisse","CH","Directs_globaux",1374
1889,"Royaume-Uni","GB","Directs_globaux",24705
1889,"États-Unis d'Amérique","US","Directs_globaux",857
1890,"Belgique","BE","Directs_globaux",89
1890,"France","FR","Résident_direct",31424
1890,"France","FR","NonRésident_direct",710
1890,"Allemagne","DE","Directs_globaux",75496
1890,"Italie","IT","Résident_direct",6
1890,"Italie","IT","NonRésident_direct",1
1890,"Japon","JP","Directs_globaux",497
1890,"Suisse","CH","Directs_globaux",1021
1890,"Royaume-Uni","GB","Résident_direct",22235
1890,"Royaume-Uni","GB","NonRésident_direct",318
1890,"États-Unis d'Amérique","US","Directs_globaux",1086
1891,"Belgique","BE","Directs_globaux",96
1891,"France","FR","Résident_direct",38210
1891,"France","FR","NonRésident_direct",453
1891,"Allemagne","DE","Directs_globaux",82405
1891,"Italie","IT","Résident_direct",7
1891,"Japon","JP","Directs_globaux",290
1891,"Suisse","CH","Directs_globaux",2170
1891,"Royaume-Uni","GB","Directs_globaux",21950
1891,"États-Unis d'Amérique","US","Directs_globaux",1025
1892,"Belgique","BE","Directs_globaux",135
1892,"France","FR","Résident_direct",47605
1892,"France","FR","NonRésident_direct",1009
1892,"Allemagne","DE","Directs_globaux",91891
1892,"Hongrie","HU","Résident_direct",345
1892,"Hongrie","HU","NonRésident_direct",325
1892,"Italie","IT","Résident_direct",23
1892,"Italie","IT","NonRésident_direct",3
1892,"Japon","JP","Directs_globaux",262
1892,"Suisse","CH","Directs_globaux",2692
1892,"Royaume-Uni","GB","Directs_globaux",19527
1892,"États-Unis d'Amérique","US","Directs_globaux",1130
1893,"Belgique","BE","Directs_globaux",137
1893,"Brésil","BR","Directs_globaux",180
1893,"France","FR","Résident_direct",52568
1893,"France","FR","NonRésident_direct",607
1893,"Allemagne","DE","Directs_globaux",87774
1893,"Hongrie","HU","Résident_direct",331
1893,"Hongrie","HU","NonRésident_direct",251
1893,"Italie","IT","Résident_direct",10
1893,"Italie","IT","NonRésident_direct",5
1893,"Japon","JP","Directs_globaux",250
1893,"Suisse","CH","Directs_globaux",8676
1893,"Royaume-Uni","GB","Directs_globaux",19480
1893,"États-Unis d'Amérique","US","Directs_globaux",1060
1894,"Belgique","BE","Directs_globaux",145
1894,"France","FR","Résident_direct",46857
1894,"France","FR","NonRésident_direct",3825
1894,"Allemagne","DE","Directs_globaux",95073
1894,"Hongrie","HU","Résident_direct",354
1894,"Hongrie","HU","NonRésident_direct",388
1894,"Italie","IT","Résident_direct",46
1894,"Italie","IT","NonRésident_direct",1
1894,"Japon","JP","Directs_globaux",236
1894,"Nouvelle-Zélande","NZ","Directs_globaux",15
1894,"Suisse","CH","Directs_globaux",25786
1894,"Royaume-Uni","GB","Directs_globaux",22255
1894,"États-Unis d'Amérique","US","Directs_globaux",1357
1895,"Belgique","BE","Directs_globaux",157
1895,"France","FR","Résident_direct",51818
1895,"France","FR","NonRésident_direct",3645
1895,"Allemagne","DE","Directs_globaux",109236
1895,"Hongrie","HU","Résident_direct",513
1895,"Hongrie","HU","NonRésident_direct",539
1895,"Italie","IT","Résident_direct",57
1895,"Italie","IT","NonRésident_direct",5
1895,"Japon","JP","Directs_globaux",318
1895,"Nouvelle-Zélande","NZ","Directs_globaux",14
1895,"Portugal","PT","Directs_globaux",484
