//Enregistrements de dessins et modèles industriels par office,
"//par résident direct, non-résident direct et système de la Haye",
//Source : base de données statistiques de l’OMPI, décembre 2011
//Note: Des données peuvent manquer pour certains offices ou pour certaines années.,

Année,Nom'Office,Code'Office,Type'enregistrant,Nombre'enregistrements
1883,"Canada","CA","Directs_globaux",66
1883,"Royaume-Uni","GB","Directs_globaux",16985
1883,"États-Unis d'Amérique","US","Directs_globaux",1017
1884,"Belgique","BE","Directs_globaux",45
1884,"Canada","CA","Directs_globaux",68
1884,"Italie","IT","Résident_direct",13
1884,"Royaume-Uni","GB","Directs_globaux",19687
1884,"États-Unis d'Amérique","US","Directs_globaux",1150
1885,"Belgique","BE","Directs_globaux",75
1885,"Canada","CA","Directs_globaux",48
1885,"Italie","IT","Résident_direct",4
1885,"Italie","IT","NonRésident_direct",1
1885,"Royaume-Uni","GB","Directs_globaux",20596
1885,"États-Unis d'Amérique","US","Directs_globaux",769
1886,"Belgique","BE","Directs_globaux",96
1886,"Canada","CA","Directs_globaux",54
1886,"France","FR","Résident_direct",33759
1886,"France","FR","NonRésident_direct",194
1886,"Italie","IT","Résident_direct",14
1886,"Italie","IT","NonRésident_direct",22
1886,"Royaume-Uni","GB","Directs_globaux",23640
1886,"États-Unis d'Amérique","US","Directs_globaux",594
1887,"Belgique","BE","Directs_globaux",109
1887,"Canada","CA","Directs_globaux",105
1887,"France","FR","Résident_direct",42768
1887,"France","FR","NonRésident_direct",329
1887,"Italie","IT","Résident_direct",12
1887,"Italie","IT","NonRésident_direct",2
1887,"Royaume-Uni","GB","Directs_globaux",25394
1887,"États-Unis d'Amérique","US","Directs_globaux",948
1888,"Belgique","BE","Directs_globaux",148
1888,"Canada","CA","Directs_globaux",71
1888,"France","FR","Résident_direct",29858
1888,"France","FR","NonRésident_direct",242
1888,"Italie","IT","Résident_direct",9
1888,"Italie","IT","NonRésident_direct",3
1888,"Royaume-Uni","GB","Directs_globaux",26165
1888,"États-Unis d'Amérique","US","Directs_globaux",832
1889,"Belgique","BE","Directs_globaux",229
1889,"Canada","CA","Directs_globaux",88
1889,"France","FR","Résident_direct",33355
1889,"France","FR","NonRésident_direct",256
1889,"Italie","IT","Résident_direct",15
1889,"Italie","IT","NonRésident_direct",1
1889,"Japon","JP","Directs_globaux",22
1889,"Suisse","CH","Résident_direct",1143
1889,"Suisse","CH","NonRésident_direct",210
1889,"Royaume-Uni","GB","Directs_globaux",24620
1889,"États-Unis d'Amérique","US","Directs_globaux",723
1890,"Belgique","BE","Directs_globaux",89
1890,"Canada","CA","Directs_globaux",68
1890,"France","FR","Résident_direct",31424
1890,"France","FR","NonRésident_direct",710
1890,"Italie","IT","Résident_direct",6
